text,gold_labels,generated
Severe hepatitis caused by cyproterone acetate.,"[['cyproterone acetate', 'Severe hepatitis']]","[['cyproterone acetate', 'Severe hepatitis']]"
Sustained-release procainamide-induced reversible granulocytopenia after myocardial infarction.,"[['procainamide', 'reversible granulocytopenia']]","[['procainamide','reversible granulocytopenia']]"
"CASE REPORT: We hereby report a case of radiation recall dermatitis and myositis occurring on gemcitabine monotherapy, five months after completing chemoradiation for locally advanced pancreatic cancer.","[['gemcitabine', 'myositis'], ['gemcitabine', 'radiation recall dermatitis']]","[['gemcitabine','myositis'], ['gemcitabine', 'radiation recall dermatitis']]"
Hepatic angiosarcoma occurring after cyclophosphamide therapy: case report and review of the literature.,"[['cyclophosphamide', 'Hepatic angiosarcoma']]","[['cyclophosphamide', 'Hepatic angiosarcoma']]"
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,"[['interferon alfa', 'Cutaneous sarcoidosis'], ['ribavirin', 'Cutaneous sarcoidosis']]","[['interferon alfa', 'Cutaneous sarcoidosis'], ['ribavirin', 'Cutaneous sarcoidosis']]"
Allopurinol-associated hand and foot deformities in chronic tophaceous gout.,"[['Allopurinol', 'hand and foot deformities']]","[['Allopurinol', 'hand and foot deformities']]"
Methemoglobinemia: an occupational hazard of phenylpropanolamine production.,"[['phenylpropanolamine', 'Methemoglobinemia']]","[['phenylpropanolamine', 'Methemoglobinemia']]"
Metronidazole neuropathy.,"[['Metronidazole', 'neuropathy']]","[['Metronidazole', 'neuropathy']]"
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.","[['Olanzapine', 'muscle injury with concomitant elevations of serum CK']]","[['Olanzapine','muscle injury'], ['Olanzapine', 'elevations of serum CK of muscle origin']]"
A depressed woman with no history of bipolar illness developed a manic episode during treatment with fluoxetine.,"[['fluoxetine', 'manic episode']]","[['fluoxetine','manic episode']]"
Sudden cardiac death due to hypersensitivity myocarditis during clozapine treatment.,"[['clozapine', 'hypersensitivity myocarditis'], ['clozapine', 'Sudden cardiac death']]","[['clozapine', 'hypersensitivity myocarditis'], ['clozapine', 'Sudden cardiac death']]"
"Treatment of amiodarone-induced thyrotoxicosis (AIT) with thionamide, lithium or radioactive iodine is ineffective.","[['amiodarone', 'thyrotoxicosis']]","[['amiodarone', 'thyrotoxicosis']]"
How low can you go? Use of very low dosage of gold in patients with mucocutaneous reactions.,"[['gold', 'mucocutaneous reactions']]","[['gold','mucocutaneous reactions']]"
Cardiorespiratory toxicity due to miconazole.,"[['miconazole', 'Cardiorespiratory toxicity']]","[['miconazole', 'Cardiorespiratory toxicity']]"
"After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.","[['metoclopramide', 'agitation'], ['metoclopramide', 'confusion'], ['metoclopramide', 'diaphoresis'], ['metoclopramide', 'fever'], ['metoclopramide', 'hypertension'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachypnea']]","[['metoclopramide', 'agitation'], ['metoclopramide', 'fever'], ['metoclopramide', 'diaphoresis'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', 'tachycardia'], ['metoclopramide', '"
We report a patient who experienced LABD shortly after starting carbamazepine therapy.,"[['carbamazepine', 'LABD']]","[['carbamazepine', 'LABD']]"
Cardiac decompensation following verapamil therapy in infants with supraventricular tachycardia.,"[['verapamil', 'Cardiac decompensation']]","[['verapamil', 'Cardiac decompensation']]"
