input,response
OBJECTIVE: We report a case of cutaneous KS lesions in a patient affected by CML treated with imatinib.,"[[""CML"",""imatinib""]]"
We present the case of an adult Crohn's disease patient with a parvovirus B19 infection and leukopenia during long-term AZA therapy.,"[[""Crohn's disease""], [""AZA""], [""Parvovirus B19""]]"
We describe a renal transplant recipient maintained on cyclosporine and prednisone developing Nocardia Asteroides brain abscess.,"[[""cyclosporine"",""prednisone""]]"
"We report the case of a young man, affected by rheumatoid arthritis who developed a rapid-onset short-of-breath, hemoptysis, and severe weakness, about 2 weeks after the administration of leflunomide.","[[""leflunomide"",""rheumatoid arthritis""]]"
Acute pancreatitis in a child with idiopathic ulcerative colitis on long-term 5-aminosalicylic acid therapy.,"[[""5-aminosalicylic acid"",""acute pancreatitis""]]"
Development of Crohn's disease in a patient with multiple sclerosis treated with copaxone.,"[[""Crohn's disease""], [""Copaxone""], [""Multiple sclerosis""]]"
"An obese patient, not diabetic, treated with metformin for some weeks, was referred to us with severe inferior digestive hemorrhage, diagnosed with Meckel's diverticulum.","[[""Meckel's diverticulum""], [""metformin""], [""obese patient""]]"
Seizure with hyponatremia in a child prescribed desmopressin for nocturnal enuresis.,"[[""desmopressin"",""seizure""]]"
Posthypoglycemic hyperglycemia (rebound hyperglycemia) after overdosing of insulin was diagnosed in 6 cats with diabetes mellitus.,"[[""posthypoglycemic hyperglycemia""], [""posthypoglycemic hyperglycemia""], [""rebound hyperglycemia""]]"
"One patient had a lower average heart rate and two patients had lower average mean blood pressure values during propranolol treatment, none of which was clinically significant.","[[""propranolol"",""blood pressure""]]"
Transient central diabetes insipidus in the setting of underlying chronic nephrogenic diabetes insipidus associated with lithium use.,"[[""transient central diabetes insipidus""], [""nephrogenic diabetes insipidus""], [""lithium""], [""transient central diabetes insipidus""]]"
We describe two dark-skinned patients who developed hyperpigmented skin and tongue lesions during combination therapy with IFN and ribavirin.,"[[""hyperpigmentation""], [""ribavirin""], [""hyperpigmentation""], [""IFN""], [""hyperpigmentation""]]"
This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.,"[[""clozapine"",""serum triglyceride""]]"
CONCLUSION: We have introduced a case of anaphylaxis by calcitonin that suggest an IgE mediated hypersensitivity reaction.,"[[""calcitonin"",""hypersensitivity reaction""]]"
Stupor from lamotrigine toxicity.,"[[""lamotrigine"",""toxicity""]]"
"Rofecoxib, used for dysmenorrhea, caused a herpetiform fixed drug eruption predominantly involving the lips with classic clinical and histological findings in a red-brown lesion on the dorsal hand.","[[""Rofecoxib"",""drug eruption""]]"
A case of mania associated with fluoxetine.,"[[""mania""], [""fluoxetine""], [""mania""], [""fluoxetine""], [""mania""], [""fluoxetine""], [""mania""]]"
Disopyramide-induced heart block.,"[[""disopyramide"",""heart block""]]"
Severe respiratory syncytial virus pulmonary infection in a patient treated with fludarabine for chronic lymphocytic leukemia.,"[[""fludarabine"",""chronic lymphocytic leukemia""]]"
Divalproex sodium-induced eosinophilic pleural effusion.,"[[""divalproex sodium"",""pleural effusion""]]"
"During dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid.","[[""omeprazole"",""peripheral edema""], [""pantoprazole"",""peripheral edema""]]"
"The authors describe a case of oral-facial dyskinesia that occurred after discontinuation of amoxapine, and antidepressant which may also have neuroleptic effects.","[[""anoxapine"",""oral-facial dyskinesia""]]"
Agranulocytosis and granulocytopenia associated with quetiapine.,"[[""quetiapine"",""agranulocytosis""]]"
Dihydropyrimidine dehydrogenase deficiency: a pharmacogenetic defect causing severe adverse reactions to 5-fluorouracil-based chemotherapy.,"[[""5-fluorouracil"",""pharmacogenetic defect""]]"
The mechanism by which sunitinib induces gynaecomastia is thought to be associated with an unknown direct action on breast hormonal receptors.,"[[""Sunitinib"",""gynaecomastia""]]"
"Here we report a patient with newly diagnosed acute promyelocytic leukemia who developed acute focal myositis, synovitis, and possible vasculitis, after receiving all-trans retinoic acid therapy.","[[""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocytic leukemia""], [""acute focal myositis""], [""acute promyelocy"
The authors report five additional cases of capecitabine-induced multifocal leukoencephalopathy.,"[[""capecitabine"",""multifocal leukoencephalopathy""]]"
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.","[[""Pneumocystis jiroveci pneumonia""], [""Kaposi's sarcoma""], [""Corticosteroids""]]"
Adrenaline dacryolith: detection by ultrasound examination of the nasolacrimal duct.,"[[""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], [""Adrenaline dacryolith""], ["""
Sudden cardiac death due to hypersensitivity myocarditis during clozapine treatment.,"[[""clozapine"",""sudden cardiac death""]]"
"Extrapyramidal symptoms are well-documented complications of therapy with haloperidol, even when small doses are used.","[[""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""haloperidol""], [""extrapyramidal symptoms""], [""extrapyramidal symptoms""], [""extrapyramidal symptoms""], [""extrapyramidal symptoms""], [""extrapyramid"
Hemodynamic collapse following labetalol administration in preeclampsia.,"[[""labetalol"",""preeclampsia""]]"
The condition should be suspected in patients who develop unexplained abdominal pain or collapse following vasopressin treatment.,"[[""vasopressin"",""drug""]]"
"The case history and toxicological findings of an infant fatality involving pseudoephedrine, brompheniramine, and dextromethorphan are presented.","[[""pseudoephedrine"",""infant fatality""], [""pseudoephedrine"",""brompheniramine"",""dextromethorphan""]]"
"Rifampin can be associated with severe adverse effects such as hepatitis, acute renal failure, hemolytic anemia, and thrombocytopenia.","[[""Rifampin"",""adverse effect""], [""Rifampin"",""side effect""], [""Rifampin"",""hepatitis""], [""Rifampin"",""acute renal failure""], [""Rifampin"",""thrombocytopenia""]]"
The patient described feeling cold with worsening headache and chills approximately one hour after infusion of the first dose of penicillin.,"[[""penicillin"",""headache""]]"
"Therefore, although garenoxacin reportedly causes fewer adverse reactions for cardiac rhythms than third-generation quinolone antibiotics, one must be cautious of the interference of other drugs during hypokalemia in order to prevent TdP.","[[""garenoxacin"",""drug interaction""]]"
Pneumonitis with pleural and pericardial effusion and neuropathy during amiodarone therapy.,"[[""amiodarone"",""pleural effusion""]]"
An unusual case of Ecstasy poisoning.,"[[""Ecstasy""], [""poisoning""]]"
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.","[[""methotrexate"",""acute renal failure""]]"
Ten years of behavioral data are presented to support the hypothesis that phenobarbital was exacerbating maladaptive behaviors.,"[[""phenobarbital"",""maladaptive behavior""]]"
"Renal failure appeared 8 to 17 days after beginning gentamicin therapy and was characterized by creatinine clearances 4 to 10 ml/min, urine to plasma creatinine ratios less than 20, urinary sodium concentrations 16 to 60 mEq/liter, proteinuria, and cylindruria.","[[""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""renal failure""], [""gentamicin""], [""ren"
Severe acute encephalopathy following inadvertent intrathecal doxorubicin administration.,"[[""doxorubicin"",""acute encephalopathy""]]"
"Multiple complications of propylthiouracil treatment: granulocytopenia, eosinophilia, skin reaction and hepatitis with lymphocyte sensitization.","[[""propylthiouracil"",""granulocytopenia""]]"
Herpes simplex esophagitis in a renal transplant patient treated with cyclosporine A: a case report.,"[[""cyclosporine A"",""herpes simplex esophagitis""]]"
"However, follow-up revealed that gestational diabetes when associated with norethisterone had a lesser risk of emerging diabetes mellitus and impaired glucose tolerance.","[[""norethisterone"",""diabetes mellitus""]]"
5-fluorouracil (5-FU)-associated peripheral neuropathy is an uncommon event.,"[[""5-fluorouracil"",""neuropathy""]]"
Flumazenil reversal of benzodiazepine-induced sedation for a patient with severe pre-ECT anxiety.,"[[""flumazenil"",""benzodiazepine""]]"
"CONCLUSIONS: For all patients with vancomycin-induced neutropenia, possible cross-reactivity of teicoplanin should be monitored.","[[""teicoplanin"",""cross-reactivity""]]"
Ophthalmologists should be aware of the ocular side effects of IFN therapy and carefully monitor patients for the possible occurrence of hypoalbuminemia and thrombocytopenia.,"[[""hypoalbuminemia""], [""thrombocytopenia""]]"
A 25-year-old woman sought medical attention because of iliocaval manifestations of retroperitoneal fibrosis while she was taking methysergide.,"[[""methysergide"",""iliocaval manifestations of retroperitoneal fibrosis""]]"
Drug-induced fever should be considered in patients who have unexplained high temperatures during diltiazem therapy.,"[[""diltiazem"",""fever""]]"
Concurrent acute megaloblastic anaemia and pneumonitis: a severe side-effect of low-dose methotrexate therapy during rheumatoid arthritis.,"[[""methotrexate"",""acute megaloblastic anaemia""]]"
