input,explanations,gold_relations
Intravenous azithromycin-induced ototoxicity.,Explanation: Explanation: Explanation: Ototoxicity occurred after intravenous administration of azithromycin.</s></s></s>,"[['azithromycin', 'ototoxicity']]"
"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",Explanation: Explanation: Explanation: Increased calcium-release into the circulation was caused by activation of dihydrotachysterol by rifampicin.</s></s></s>,"[['dihydrotachysterol', 'increased calcium-release']]"
Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,Explanation: Explanation: Explanation: Severe hypercalcemia was observed in a patient treated with dihydrotachysterol for hypoparathyroidism.</s></s></s>,"[['dihydrotachysterol', 'hypercalcemia']]"
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,Explanation: Explanation: Explanation: Two cases of pseudoporphyria were caused by naproxen and oxaprozin.</s></s></s>,"[['naproxen', 'pseudoporphyria'], ['oxaprozin', 'pseudoporphyria']]"
"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",Explanation: Explanation: Explanation: Naproxen has been associated with a dimorphic clinical pattern simulating erythropoietic protoporphyria in the pediatric population.</s></s></s>,"[['Naproxen', 'erythropoietic protoporphyria']]"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,Explanation: Explanation: Explanation: Patients taking naproxen and oxaprozin presented with tense bullae and cutaneous fragility on the face and the back of the hands.</s></s></s>,"[['naproxen', 'cutaneous fragility'], ['oxaprozin', 'cutaneous fragility'], ['naproxen', 'tense bullae'], ['oxaprozin', 'tense bullae']]"
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,Explanation: Explanation: Explanation: Clozapine induced granulocytopenia in psychotic patients.</s></s></s>,"[['clozapine', 'granulocytopenia']]"
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,Explanation: Explanation: Explanation: Clozapine induced granulocytopenia was mentioned in the conclusion.</s></s></s>,"[['clozapine', 'granulocytopenia']]"
Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,Explanation: Explanation: Explanation: Prolonged severe neurotoxicity was associated with 5-fluorouracil in a patient with dihydropyrimidine dehydrogenase deficiency.</s></s></s>,"[['5-fluorouracil', 'neurotoxicity']]"
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.","Explanation: Explanation: Explanation: Side effects of 5-FU in a colon cancer patient included neurologic toxicity, prolonged myelosuppression, and severe mucositis.</s></s></s>","[['5-FU', 'neurologic toxicity'], ['5-FU', 'prolonged myelosuppression'], ['5-FU', 'severe mucositis']]"
"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.","Explanation: Explanation: Explanation: BH-AC, a derivative of cytosine arabinoside, could be a cause of reversible encephalopathy syndrome.</s></s></s>","[['BH-AC', 'encephalopathy syndrome']]"
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",Explanation: Explanation: Explanation: Encephalopathy syndrome occurred in a 16-year-old girl with AML undergoing consolidation chemotherapy composed of BH-AC and idarubicin.</s></s></s>,"[['BH-AC', 'encephalopathy syndrome'], ['idarubicin', 'encephalopathy syndrome']]"
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",Explanation: Explanation: Explanation: Readministration of riluzole caused the relapse of hepatitis.</s></s></s>,"[['riluzole', 'hepatitis']]"
"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",Explanation: Explanation: Explanation: Two patients developed hepatitis after taking riluzole at the recommended dose.</s></s></s>,"[['riluzole', 'hepatitis']]"
