input,relations,prefix,gold_relations
1. changes in the plasma cortisol level were reported in a male patient with panic disorder during the period of low-dose alprazolam treatment (mean 0.62 +/- 0.15 mg/day) compared with during the period of high-dose period (mean 1.08 +/- 0.28 mg/day).,"[['alprazolam', 'changes in the plasma cortisol level']]",ADE,"[['alprazolam', 'changes in the plasma cortisol level']]"
a 22-year-old drug-abuser injected flunitrazepam tablets dissolved in tap water into her left femoral artery and presented with clinical signs of acute ischaemia of the left leg.,"[['flunitrazepam', 'acute ischaemia of the left leg']]",ADE,"[['flunitrazepam', 'acute ischaemia of the left leg']]"
a 23-year-old woman with systemic lupus erythematosus had a severe hypersensitivity reaction to the drug ibuprofen.,"[['ibuprofen', 'hypersensitivity reaction']]",ADE,"[['ibuprofen', 'severe hypersensitivity reaction']]"
"a 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.","[['sulphasalazine', 'dermatitis'], ['sulphasalazine', 'fever'], ['sulphasalazine', 'hepatitis'], ['sulphasalazine', 'lymphadenopathy']]",ADE,"[['sulphasalazine', 'constellation of dermatitis'], ['sulphasalazine', 'fever'], ['sulphasalazine', 'hepatitis'], ['sulphasalazine', 'lymphadenopathy']]"
a 35-year-old man with seropositive rheumatoid arthritis developed selective iga deficiency during treatment with fenclofenac.,"[['fenclofenac', 'selective iga deficiency']]",ADE,"[['fenclofenac', 'iga deficiency']]"
a 40-year-old man with a long standing history of rheumatoid arthritis was treated with mtx over a 6 month period and developed an overwhelming hepatic necrosis.,"[['mtx', 'hepatic necrosis']]",ADE,"[['mtx', 'overwhelming hepatic necrosis']]"
"a 45-year-old woman with steroid-dependent crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.","[['infliximab', 'lupus-like syndrome'], ['methotrexate', 'lupus-like syndrome']]",ADE,"[['infliximab', 'lupus-like syndrome'], ['methotrexate', 'lupus-like syndrome']]"
"a 52-year-old, white female developed low-grade fever, cough, and dyspnea after 8 weeks treatment with sodium aurothiomalate for rheumatoid arthritis.","[['sodium aurothiomalate', 'cough'], ['sodium aurothiomalate', 'dyspnea'], ['sodium aurothiomalate', 'low-grade fever']]",ADE,"[['sodium aurothiomalate', 'cough'], ['sodium aurothiomalate', 'dyspnea'], ['sodium aurothiomalate', 'low-grade fever']]"
"a 57-year-old woman presented with a 3-week history of dysphagia for solids, 6 months after starting treatment with nifedipine.","[['nifedipine', 'dysphagia']]",ADE,"[['nifedipine', 'dysphagia for solids']]"
a 58-year-old man with advanced renal cell carcinoma developed grade 3 proteinuria (8.5 g/24 h) without microscopic hematuria or renal insufficiency five days after temsirolimus infusion.,"[['temsirolimus', 'proteinuria']]",ADE,"[['temsirolimus', 'proteinuria']]"
a 62-year-old caucasian man with atrial fibrillation who was taking warfarin reported an episode of hematochezia; his international normalized ratio (inr) was 1.74.,"[['warfarin', 'hematochezia']]",ADE,"[['warfarin', 'hematochezia']]"
a 64-year-old man with schizophrenia developed myoclonic jerks when given higher doses of quetiapine.,"[['quetiapine', 'myoclonic jerks']]",ADE,"[['quetiapine', 'myoclonic jerks']]"
a 71-year-old man with paroxysmal atrial fibrillation who had a previous anterior myocardial infarction exhibited granulocytopenia 8 days following the administration of oral sustained-release procainamide (750 mg/day).,"[['procainamide', 'granulocytopenia']]",ADE,"[['procainamide', 'granulocytopenia']]"
"a 73-year-old woman with non-hodgkin's lymphoma had two episodes of severe, bilateral, sensori-neural hearing loss after vincristine therapy.","[['vincristine', 'sensori-neural hearing loss']]",ADE,"[['vincristine', 'sensori-neural hearing loss']]"
a 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.,"[['pioglitazone', 'bilateral lower leg edema']]",ADE,"[['pioglitazone', 'bilateral lower leg edema']]"
