text,gpt3_generated_labels,gold_labels
these case reports provide evidence that 5-aminosalicylic acid may induce acute pancreatitis after long term treatment.,"[['5-aminosalicylic acid', 'acute pancreatitis']]","[['5-aminosalicylic acid', 'acute pancreatitis']]"
a search of the united states food and drug administration's adverse event reporting system identified nine cases of oxcarbazepine-associated angioedema in pediatric patients aged 16 years and younger.,"[['oxcarbazepine', 'angioedema']]","[['oxcarbazepine', 'angioedema']]"
human insulin-induced lipoatrophy.,"[['insulin', 'lipoatrophy']]","[['human insulin', 'lipoatrophy']]"
"in all the patients, pellagra symptoms appeared during isoniazid therapy.","[['isoniazid', 'pellagra']]","[['isoniazid', 'pellagra']]"
"we present a case of a 20-year-old woman who ingested 900 mg of glyburide causing refractory hypoglycemia resistant to treatment with intravenous dextrose, glucagon, and diazoxide.","[['glyburide', 'refractory hypoglycemia']]","[['glyburide', 'hypoglycemia']]"
we present two children with acute lymphocytic leukemia who developed leukoencephalopathy following administration of a combination of intravenous ara = c and methotrexate during the consolidation phase of chemotherapy.,"[['ara = c', 'leukoencephalopathy'], ['methotrexate', 'leukoencephalopathy']]","[['ara = c', 'leukoencephalopathy'], ['methotrexate', 'leukoencephalopathy']]"
a 62-year-old caucasian man with atrial fibrillation who was taking warfarin reported an episode of hematochezia; his international normalized ratio (inr) was 1.74.,"[['warfarin', 'hematochezia']]","[['warfarin', 'hematochezia']]"
choanal atresia and athelia: methimazole teratogenicity or a new syndrome?,"[['methimazole', 'choanal atresia']]","[['methimazole', 'athelia'], ['methimazole', 'choanal atresia'], ['methimazole', 'teratogenicity']]"
"data synthesis: genetic deficiencies in dpd, the rate-limiting enzyme responsible for 5-fu catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-fu.","[['5-fu', 'dpd']]","[['5-fu', 'diarrhea'], ['5-fu', 'diarrhea'], ['5-fu', 'mucositis'], ['5-fu', 'mucositis'], ['5-fu', 'myelosuppression'], ['5-fu', 'myelosuppression'], ['5-fu', 'neurotoxicity'], ['5-fu', 'neurotoxicity'], ['5-fu', 'stomatitis'], ['5-fu', 'stomatitis']]"
we describe a patient who developed acute cerebellar syndrome after prophylactic intrathecal methotrexate administration and recovered spontaneously.,"[['methotrexate', 'cerebellar syndrome']]","[['methotrexate', 'acute cerebellar syndrome']]"
four chinese female patients who suffered from manic-depressive disorder and underlying autoimmune thyroiditis developed transient episodes of thyrotoxicosis during maintenance lithium therapy.,"[['lithium', 'thyrotoxicosis']]","[['lithium', 'thyrotoxicosis']]"
such anagen effluvium with lichenoid eruption following inh therapy has not been observed previously.,"[['inh', 'anagen effluvium']]","[['inh', 'anagen effluvium'], ['inh', 'lichenoid eruption']]"
"even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.","[['quinine', 'thrombocytopenia']]","[['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia'], ['quinine', 'thrombocytopenia']]"
acute pancreatitis after long-term 5-aminosalicylic acid therapy.,"[['5-aminosalicylic acid', 'acute pancreatitis']]","[['5-aminosalicylic acid', 'acute pancreatitis']]"
"we report a patient in whom the anti-depressant trazodone hydrochloride (molipaxin, roussel), a serotonin antagonist, provoked generalized pustular psoriasis (gpp).","[['trazodone hydrochloride', 'generalized pustular psoriasis']]","[['molipaxin', 'generalized pustular psoriasis'], ['trazodone hydrochloride', 'generalized pustular psoriasis'], ['molipaxin', 'gpp'], ['trazodone hydrochloride', 'gpp']]"
progressive pulmonary fibrosis complicating cyclophosphamide therapy.,"[['cyclophosphamide', 'progressive pulmonary fibrosis']]","[['cyclophosphamide', 'progressive pulmonary fibrosis']]"
valproate-induced hyperammonemia as a cause of altered mental status.,"[['valproate', 'hyperammonemia']]","[['valproate', 'altered mental status'], ['valproate', 'hyperammonemia']]"
anisocoria from transdermal scopolamine.,"[['transdermal scopolamine', 'anisocoria']]","[['scopolamine', 'anisocoria']]"
"captopril is known to be associated with dermatologic, hematologic, and pulmonary adverse effects.","[['captopril', 'dermatologic'], ['captopril', 'hematologic'], ['captopril', 'pulmonary']]","[['captopril', 'dermatologic, hematologic, and pulmonary adverse effects']]"
schneiderian first-rank symptoms associated with fluvoxamine treatment: a case report.,"[['fluvoxamine', 'schneiderian first-rank symptoms']]","[['fluvoxamine', 'schneiderian first-rank symptoms']]"
a 35-year-old man with seropositive rheumatoid arthritis developed selective iga deficiency during treatment with fenclofenac.,"[['fenclofenac', 'selective iga deficiency']]","[['fenclofenac', 'iga deficiency']]"
we report on a patient with renal artery stenosis who had only 1 kidney and in whom acute renal impairment developed with transient anuria after the administration of captopril.,"[['captopril', 'acute renal impairment']]","[['captopril', 'acute renal impairment'], ['captopril', 'transient anuria']]"
