text,gen_fp
"lightning ignited a firestorm that charred 10 , 000 acres in central idaho , including much of the small resort town of lowman , about 70 miles northeast of boise.","['lotman', 'located_in', 'idaho']"
"the three reactors , all at the savannah river plant , in aiken , s.c. , have been shut down since last april undergoing changes to make them safer .","['savana river plant', 'orgbased_in', 'aiken']"
"the three reactors , all at the savannah river plant , in aiken , s.c. , have been shut down since last april undergoing changes to make them safer .","['savana river plant', 'orgbased_in', 's.c.']"
"kovacevic , a serb , has come under fire from serbian politicians and the republic 's press since the u.s. congress last month passed two resolutions claiming there were human rights violations in the strife-torn southern province of kosovo.","['kovacevic', 'live_in', 'serbia']"
"on this date : in 1833 , benjamin harrison , the 23rd president of the united states , was born in north bend , ohio .","['benjamin harrison', 'live_in', 'north bend, ohio']"
"photo , dueling over a gunit is a scene seared into the memories of americans old enough to have watched it that november day in 1963 : jack ruby firing his .38-caliber colt cobra , above , at lee harvey oswald , the man who had assassinated president john f. kennedy two days earlier.","['lee harvey oswald', 'kill', 'president john f. kennedy']"
"hernandez galicia 's allegedly corrupt mexican oil workers union controls more than half the lucrative drilling contracts issued by the state oil monopoly , pemex .","['mexican oil workers union', 'orgbased_in', 'hernandez galicia']"
"hernandez galicia 's allegedly corrupt mexican oil workers union controls more than half the lucrative drilling contracts issued by the state oil monopoly , pemex .","['mexican oil workers union', 'orgbased_in', 'mexico']"
"hernandez galicia 's allegedly corrupt mexican oil workers union controls more than half the lucrative drilling contracts issued by the state oil monopoly , pemex .","['pemex', 'orgbased_in', 'mexico']"
"` ` it 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said phil fuhrer , vice of gannett new media. 1-900-weather offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","['phil fuhrer', 'work_for', 'gainnet new media']"
"san gabriel river channel , azusa , calif. ;","['san gabriel river channel', 'located_in', 'azure']"
"san gabriel river channel , azusa , calif. ;","['azure', 'located_in', 'calif.']"
"( text ) police major pramot pansakun , the commander of the region 2 border patrol police ( bpp ) , khon kaen , and thai and american narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a hmong poppy field located along the border between dan sai district in loei province , nakhon thai district in phitsanulok province , and lomsak district in phetchabun province .","['pramot pansakun', 'work_for', 'bpp']"
an urgent call for international help to avert food shortages in poland went out both from last month 's western economic summit in paris and from monday 's meeting in brussels of 24 concerned nations chaired by the european community commission.,"['european community', 'orgbased_in', 'paris']"
"cheek , 53 , is a former chief and charge in addis ababa , ethiopia.","['cheek', 'live_in', 'addis ababa']"
"cheek , 53 , is a former chief and charge in addis ababa , ethiopia.","['cheek', 'live_in', 'ethiopia.']"
"middle-class argentines , among the most affluent in latin america at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made argentina one of the world 's wealthiest nations.","['argentines', 'live_in', 'argentina']"
"middle-class argentines , among the most affluent in latin america at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made argentina one of the world 's wealthiest nations.","['argentina', 'live_in', 'lat. america']"
